sample_id,age,file_name,subject_hash,quality_score,is_synthetic,signal_length,signal_mean,signal_std,signal_preview,notes
synth_0_0,0,synth_0_0.mat,hash_synth_0_0,0.85,True,1000,1.4210854715202004e-17,0.9999999877405739,"[0.14902003720367152, 0.08316741537132184, 0.3839730040437683, 0.8912627279837901, 0.0378416525393183]",Synthetic sample for age 0 (fallback)
synth_0_1,0,synth_0_1.mat,hash_synth_0_1,0.85,True,1000,7.105427357601002e-18,0.9999999875779999,"[-0.09750883424883978, 0.583246065441537, 0.03187960420590529, 0.4429915711310165, 0.605230275765257]",Synthetic sample for age 0 (fallback)
synth_1_0,1,synth_1_0.mat,hash_synth_1_0,0.85,True,1000,-1.4210854715202004e-17,0.999999987454973,"[0.22250725026715878, 0.2701286068515134, 0.27212793087037634, 0.5170083896400901, 0.22486560294307253]",Synthetic sample for age 1 (fallback)
synth_1_1,1,synth_1_1.mat,hash_synth_1_1,0.85,True,1000,-3.552713678800501e-17,0.9999999877779988,"[0.0545494959432208, 0.2814590728103279, 0.8271587555859521, 0.33169471941374246, 0.9924787761164736]",Synthetic sample for age 1 (fallback)
synth_2_0,2,synth_2_0.mat,hash_synth_2_0,0.85,True,1000,3.552713678800501e-18,0.999999987797413,"[-0.010762384635931857, 0.17477693681657971, 0.2439982981231599, 0.6871985659606551, 0.20739419860434907]",Synthetic sample for age 2 (fallback)
synth_2_1,2,synth_2_1.mat,hash_synth_2_1,0.85,True,1000,-2.1316282072803006e-17,0.9999999876407305,"[0.07755759000662457, 0.3290015327521574, 0.19098012507825599, 0.4388671967337753, 1.1821845859968465]",Synthetic sample for age 2 (fallback)
synth_3_0,3,synth_3_0.mat,hash_synth_3_0,0.85,True,1000,2.1316282072803006e-17,0.999999987635767,"[0.2335605026754265, -0.06674804627695421, 0.38239637139925164, 0.8706235609932857, 0.767268448260031]",Synthetic sample for age 3 (fallback)
synth_3_1,3,synth_3_1.mat,hash_synth_3_1,0.85,True,1000,-2.4868995751603507e-17,0.9999999876958623,"[-0.13277033559612128, 0.2416652828185504, 0.2386378959418903, 0.922938951779306, 0.6300413105301461]",Synthetic sample for age 3 (fallback)
synth_4_0,4,synth_4_0.mat,hash_synth_4_0,0.85,True,1000,7.105427357601002e-18,0.9999999877242968,"[0.4938953668570838, 0.04614075425703497, 0.4353644889908143, 0.8778761217792744, 0.9041439722350652]",Synthetic sample for age 4 (fallback)
synth_4_1,4,synth_4_1.mat,hash_synth_4_1,0.85,True,1000,3.907985046680551e-17,0.9999999878104581,"[0.24059612535234245, 0.8382493864171274, 0.2695233968388999, 0.354500462904775, 0.4907206244756088]",Synthetic sample for age 4 (fallback)
synth_5_0,5,synth_5_0.mat,hash_synth_5_0,0.85,True,1000,-7.105427357601002e-18,0.9999999877298753,"[-0.20398841491301695, 0.9282773724662384, 0.5330123374626698, 0.4589637956177532, 1.019674463699002]",Synthetic sample for age 5 (fallback)
synth_5_1,5,synth_5_1.mat,hash_synth_5_1,0.85,True,1000,1.4210854715202004e-17,0.9999999875990374,"[0.20791993682755744, 0.503186188021588, 0.45656579655014334, 0.5384270121840474, 0.3240669846394501]",Synthetic sample for age 5 (fallback)
synth_6_0,6,synth_6_0.mat,hash_synth_6_0,0.85,True,1000,-4.263256414560601e-17,0.9999999880496233,"[-0.3247066321601287, 0.32117749700920933, 0.03884551547779003, 0.7071547955852625, 0.8717057312192461]",Synthetic sample for age 6 (fallback)
synth_6_1,6,synth_6_1.mat,hash_synth_6_1,0.85,True,1000,-2.4868995751603507e-17,0.999999987504822,"[-0.3603431914759684, 0.10648603381404716, 0.4003599143520612, 0.5711883838549247, 0.8186919069097685]",Synthetic sample for age 6 (fallback)
synth_7_0,7,synth_7_0.mat,hash_synth_7_0,0.85,True,1000,1.0658141036401503e-17,0.9999999877613243,"[0.11286070991581544, 0.1817282737849409, 0.23568273019200642, 0.20823818933004634, 0.6743103012281106]",Synthetic sample for age 7 (fallback)
synth_7_1,7,synth_7_1.mat,hash_synth_7_1,0.85,True,1000,-2.842170943040401e-17,0.9999999876123796,"[-0.16401677044990295, 0.548925007326962, 0.8536924933569073, 0.8459056689268163, 0.8363045327420431]",Synthetic sample for age 7 (fallback)
synth_10_0,10,synth_10_0.mat,hash_synth_10_0,0.85,True,1000,-1.4210854715202004e-17,0.9999999876000429,"[0.037512330574112004, -0.06640989346831055, 0.17965050094173643, 0.3003641145249797, 0.3430244810676241]",Synthetic sample for age 10 (fallback)
synth_10_1,10,synth_10_1.mat,hash_synth_10_1,0.85,True,1000,2.842170943040401e-17,0.9999999876841176,"[0.1148092208628607, 0.15511060230866947, 0.21746712978678745, 0.48390840066408747, 0.6921058718746961]",Synthetic sample for age 10 (fallback)
synth_11_0,11,synth_11_0.mat,hash_synth_11_0,0.85,True,1000,2.1316282072803006e-17,0.9999999877708339,"[0.021585387552913372, -0.17396575704619352, 0.17922122043554134, 0.11587250231218191, 0.6823251026052737]",Synthetic sample for age 11 (fallback)
synth_11_1,11,synth_11_1.mat,hash_synth_11_1,0.85,True,1000,-3.552713678800501e-17,0.999999987692729,"[0.21003750856399822, 0.05682135319934724, -0.42137907543859526, 0.6009643177813476, 0.997255188219044]",Synthetic sample for age 11 (fallback)
synth_12_0,12,synth_12_0.mat,hash_synth_12_0,0.85,True,1000,-1.0658141036401503e-17,0.9999999875601331,"[0.17956682472193336, 0.09331371627461531, -0.138029107354195, 1.037655090303053, 0.7934589319069254]",Synthetic sample for age 12 (fallback)
synth_12_1,12,synth_12_1.mat,hash_synth_12_1,0.85,True,1000,-7.105427357601002e-18,0.999999987748971,"[-0.14828776562829107, 0.27286643511222697, 0.3446906334669224, 0.6509981192462233, 0.7100371301427084]",Synthetic sample for age 12 (fallback)
synth_13_0,13,synth_13_0.mat,hash_synth_13_0,0.85,True,1000,2.4868995751603507e-17,0.9999999875922787,"[0.0761070835375259, 0.09262439593687298, 0.3652925396733895, 0.7282580630563709, 0.4994144877256938]",Synthetic sample for age 13 (fallback)
synth_13_1,13,synth_13_1.mat,hash_synth_13_1,0.85,True,1000,0.0,0.9999999877849447,"[0.149087539915111, 0.1665837802344993, 0.4881111908051113, 0.40473037145439883, 0.7082738820724653]",Synthetic sample for age 13 (fallback)
