sample_id,age,file_name,subject_hash,quality_score,is_synthetic,signal_length,signal_mean,signal_std,signal_preview,notes
synth_0_0,0,synth_0_0.mat,hash_synth_0_0,0.85,True,1000,3.552713678800501e-17,0.999999987713594,"[-0.00041343172502247545, 0.19863333481033227, 0.08148985389811277, 0.509181420240238, 0.4698127560231703]",Synthetic sample for age 0 (fallback)
synth_0_1,0,synth_0_1.mat,hash_synth_0_1,0.85,True,1000,-2.1316282072803006e-17,0.9999999877884049,"[0.14022220676399255, 0.5208721714716418, -0.04318281485078641, 0.3268456861929926, 0.6748787910929748]",Synthetic sample for age 0 (fallback)
synth_1_0,1,synth_1_0.mat,hash_synth_1_0,0.85,True,1000,1.7763568394002505e-17,0.9999999877689598,"[-0.0960657848541682, 0.3300235080222729, 0.40416284450477996, 0.5854515077199579, 0.7998967841885493]",Synthetic sample for age 1 (fallback)
synth_1_1,1,synth_1_1.mat,hash_synth_1_1,0.85,True,1000,2.842170943040401e-17,0.9999999877783947,"[0.6069234561677526, 0.5917931178739512, 0.4594170877642361, 0.5962743108742906, 0.6683017799759194]",Synthetic sample for age 1 (fallback)
synth_2_0,2,synth_2_0.mat,hash_synth_2_0,0.85,True,1000,7.105427357601002e-18,0.9999999876086962,"[-0.0705885129788384, -0.03701714640760152, 0.3580675500122575, 0.6564218100991647, 0.8899534740070194]",Synthetic sample for age 2 (fallback)
synth_2_1,2,synth_2_1.mat,hash_synth_2_1,0.85,True,1000,2.4868995751603507e-17,0.999999987805509,"[0.3013790705712983, 0.48785148917566745, -0.07765416110521146, 1.1846913952932887, 0.3082560420263533]",Synthetic sample for age 2 (fallback)
synth_3_0,3,synth_3_0.mat,hash_synth_3_0,0.85,True,1000,-4.618527782440651e-17,0.9999999878254052,"[0.021980294651548275, 0.5262290877378775, 0.3655414128374556, 0.6844792551178079, 0.5776769702548942]",Synthetic sample for age 3 (fallback)
synth_3_1,3,synth_3_1.mat,hash_synth_3_1,0.85,True,1000,0.0,0.9999999877122052,"[-0.31653799283196354, 0.39641749489074235, 0.21858876525348198, 0.9610308132099544, 0.6781634866186939]",Synthetic sample for age 3 (fallback)
synth_4_0,4,synth_4_0.mat,hash_synth_4_0,0.85,True,1000,2.1316282072803006e-17,0.9999999876660367,"[0.0784996653489216, 0.6434400704204034, 0.5124485116353249, 1.1399838744193271, 0.7700149824998453]",Synthetic sample for age 4 (fallback)
synth_4_1,4,synth_4_1.mat,hash_synth_4_1,0.85,True,1000,2.4868995751603507e-17,0.9999999877935097,"[-0.2785133689376903, 0.05174881349184309, 0.09641360614078888, 0.6880781204413019, 0.7018655923188181]",Synthetic sample for age 4 (fallback)
